GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,PUBLISHED,Published,null,1999,1999,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,null,null,null,0,0,null,null,null,null,null
CHOLERA_0000000002,Number of reported deaths from cholera,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2446,PUBLISHED,Published,null,2005,2005,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,null,null,null,0,0,null,null,null,null,null
CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,PUBLISHED,Published,null,1972,1972,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,null,null,null,33.33,null,null,null,null,null,null
CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,PUBLISHED,Published,null,1987,1987,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,null,null,null,0,null,null,null,null,null,null
CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,PUBLISHED,Published,null,1990,1990,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,null,null,null,0,null,null,null,null,null,null
CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,PUBLISHED,Published,null,1994,1994,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,null,null,null,0,null,null,null,null,null,null
CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,PUBLISHED,Published,null,1995,1995,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,null,null,null,0,null,null,null,null,null,null
CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,PUBLISHED,Published,null,1998,1998,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,null,null,null,0,null,null,null,null,null,null
CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,PUBLISHED,Published,null,1999,1999,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,null,null,null,0,null,null,null,null,null,null
CHOLERA_0000000003,Cholera case fatality rate,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2445,PUBLISHED,Published,null,2005,2005,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,null,null,null,0,null,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1955,1955,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,BTSX,Both sexes,null,1708,1708,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1955,1955,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,FMLE,Female,null,732,732,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1955,1955,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,MLE,Male,null,976,976,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1956,1956,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,BTSX,Both sexes,null,1721,1721,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1956,1956,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,FMLE,Female,null,738,738,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1956,1956,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,MLE,Male,null,983,983,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1957,1957,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,BTSX,Both sexes,null,1730,1730,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1957,1957,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,FMLE,Female,null,741,741,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1957,1957,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,MLE,Male,null,989,989,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1958,1958,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,BTSX,Both sexes,null,1728,1728,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1958,1958,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,FMLE,Female,null,741,741,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1958,1958,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,MLE,Male,null,987,987,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1959,1959,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,BTSX,Both sexes,null,1713,1713,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1959,1959,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,FMLE,Female,null,733,733,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1959,1959,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,MLE,Male,null,980,980,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1960,1960,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,BTSX,Both sexes,null,1681,1681,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1960,1960,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,FMLE,Female,null,718,718,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1960,1960,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,MLE,Male,null,963,963,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1961,1961,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,BTSX,Both sexes,null,1634,1634,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1961,1961,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,FMLE,Female,null,695,695,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1961,1961,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,MLE,Male,null,939,939,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1962,1962,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,BTSX,Both sexes,null,1578,1578,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1962,1962,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,FMLE,Female,null,669,669,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1962,1962,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,MLE,Male,null,909,909,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1963,1963,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,BTSX,Both sexes,null,1521,1521,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1963,1963,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,FMLE,Female,null,644,644,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1963,1963,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,MLE,Male,null,877,877,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1964,1964,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,BTSX,Both sexes,null,1469,1469,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1964,1964,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,FMLE,Female,null,621,621,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1964,1964,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,MLE,Male,null,848,848,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1965,1965,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,BTSX,Both sexes,null,1425,1425,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1965,1965,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,FMLE,Female,null,602,602,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1965,1965,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,MLE,Male,null,823,823,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1966,1966,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,BTSX,Both sexes,null,1391,1391,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1966,1966,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,FMLE,Female,null,587,587,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1966,1966,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,MLE,Male,null,804,804,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1967,1967,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,BTSX,Both sexes,null,1364,1364,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1967,1967,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,FMLE,Female,null,576,576,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1967,1967,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,MLE,Male,null,788,788,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1968,1968,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,BTSX,Both sexes,null,1341,1341,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1968,1968,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,FMLE,Female,null,567,567,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1968,1968,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,MLE,Male,null,774,774,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1969,1969,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,BTSX,Both sexes,null,1319,1319,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1969,1969,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,FMLE,Female,null,558,558,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1969,1969,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,MLE,Male,null,761,761,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1970,1970,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,BTSX,Both sexes,null,1295,1295,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1970,1970,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,FMLE,Female,null,548,548,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1970,1970,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,MLE,Male,null,747,747,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1971,1971,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,BTSX,Both sexes,null,1266,1266,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1971,1971,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,FMLE,Female,null,536,536,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1971,1971,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,MLE,Male,null,730,730,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1972,1972,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,BTSX,Both sexes,null,1230,1230,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1972,1972,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,FMLE,Female,null,520,520,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1972,1972,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,MLE,Male,null,710,710,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1973,1973,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,BTSX,Both sexes,null,1186,1186,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1973,1973,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,FMLE,Female,null,501,501,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1973,1973,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,MLE,Male,null,685,685,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1974,1974,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,BTSX,Both sexes,null,1134,1134,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1974,1974,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,FMLE,Female,null,479,479,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1974,1974,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,MLE,Male,null,655,655,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1975,1975,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,BTSX,Both sexes,null,1077,1077,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1975,1975,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,FMLE,Female,null,455,455,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1975,1975,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,MLE,Male,null,622,622,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1976,1976,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,BTSX,Both sexes,null,1015,1015,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1976,1976,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,FMLE,Female,null,429,429,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1976,1976,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,MLE,Male,null,586,586,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1977,1977,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,BTSX,Both sexes,null,953,953,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1977,1977,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,FMLE,Female,null,403,403,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1977,1977,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,MLE,Male,null,550,550,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1978,1978,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,BTSX,Both sexes,null,896,896,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1978,1978,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,FMLE,Female,null,379,379,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1978,1978,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,MLE,Male,null,517,517,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1979,1979,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,BTSX,Both sexes,null,846,846,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1979,1979,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,FMLE,Female,null,358,358,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1979,1979,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,MLE,Male,null,488,488,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1980,1980,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,BTSX,Both sexes,null,806,806,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1980,1980,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,FMLE,Female,null,342,342,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1980,1980,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,MLE,Male,null,464,464,null,null,null,null,null
CM_01,Number of under-five deaths (thousands),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2712,PUBLISHED,Published,null,1981,1981,null,WPR,Western Pacific,null,null,null,null,NZL,New Zealand,null,BTSX,Both sexes,null,775,775,null,null,null,null,null
